gen evals time best_fitness
889 89000 452 29.0
890 89100 452 29.0
891 89200 452 29.0
892 89300 452 29.0
893 89400 452 29.0
894 89500 456 29.0
895 89600 456 29.0
896 89700 460 29.0
897 89800 460 29.0
898 89900 460 29.0
899 90000 460 29.0
900 90100 460 29.0
901 90200 460 29.0
902 90300 460 29.0
903 90400 460 29.0
904 90500 464 29.0
905 90600 476 29.0
906 90700 480 29.0
907 90800 480 29.0
908 90900 480 29.0
909 91000 480 29.0
910 91100 480 29.0
911 91200 480 29.0
912 91300 480 29.0
913 91400 480 29.0
914 91500 480 29.0
915 91600 480 29.0
916 91700 480 29.0
917 91800 480 29.0
918 91900 480 29.0
919 92000 480 29.0
920 92100 480 29.0
921 92200 480 29.0
922 92300 484 29.0
923 92400 484 29.0
924 92500 484 29.0
925 92600 484 29.0
926 92700 484 29.0
927 92800 484 29.0
928 92900 484 29.0
929 93000 484 29.0
930 93100 484 29.0
931 93200 484 29.0
932 93300 484 29.0
933 93400 488 29.0
934 93500 488 29.0
935 93600 488 29.0
936 93700 488 29.0
937 93800 488 29.0
938 93900 488 29.0
939 94000 488 29.0
940 94100 488 29.0
941 94200 488 29.0
942 94300 488 29.0
943 94400 488 29.0
944 94500 488 29.0
945 94600 488 29.0
946 94700 488 29.0
947 94800 488 29.0
948 94900 488 29.0
949 95000 488 29.0
950 95100 488 29.0
951 95200 492 29.0
952 95300 492 29.0
953 95400 492 29.0
954 95500 492 29.0
955 95600 492 29.0
956 95700 492 29.0
957 95800 492 29.0
958 95900 492 29.0
959 96000 492 29.0
960 96100 492 29.0
961 96200 492 29.0
962 96300 492 29.0
963 96400 492 29.0
964 96500 492 29.0
965 96600 492 29.0
966 96700 492 29.0
967 96800 492 29.0
968 96900 492 29.0
969 97000 492 29.0
970 97100 496 29.0
971 97200 496 29.0
972 97300 496 29.0
973 97400 496 29.0
974 97500 496 29.0
975 97600 496 29.0
976 97700 496 29.0
977 97800 496 29.0
978 97900 496 29.0
979 98000 496 29.0
980 98100 496 29.0
981 98200 496 29.0
982 98300 496 29.0
983 98400 496 29.0
984 98500 496 29.0
985 98600 496 29.0
986 98700 500 29.0
987 98800 500 29.0
988 98900 500 29.0
989 99000 500 29.0
990 99100 500 29.0
991 99200 500 29.0
992 99300 500 29.0
993 99400 500 29.0
994 99500 500 29.0
995 99600 500 29.0
996 99700 500 29.0
997 99800 500 29.0
998 99900 500 29.0
999 100000 500 29.0
1000 100100 500 29.0
1001 100200 500 29.0
1002 100300 500 29.0
1003 100400 500 29.0
1004 100500 500 29.0
1005 100600 500 29.0
1006 100700 504 29.0
1007 100800 504 29.0
1008 100900 504 29.0
1009 101000 504 29.0
1010 101100 504 29.0
1011 101200 504 29.0
1012 101300 504 29.0
1013 101400 504 29.0
1014 101500 504 29.0
1015 101600 504 29.0
1016 101700 504 29.0
1017 101800 504 29.0
1018 101900 504 29.0
1019 102000 508 29.0
1020 102100 508 29.0
1021 102200 508 29.0
1022 102300 508 29.0
1023 102400 508 29.0
1024 102500 508 29.0
1025 102600 508 29.0
1026 102700 508 29.0
1027 102800 508 29.0
1028 102900 508 29.0
1029 103000 508 29.0
1030 103100 508 29.0
1031 103200 508 29.0
1032 103300 508 29.0
1033 103400 508 29.0
1034 103500 508 29.0
1035 103600 508 29.0
1036 103700 512 29.0
1037 103800 512 29.0
1038 103900 512 29.0
1039 104000 512 29.0
1040 104100 512 29.0
1041 104200 512 29.0
1042 104300 512 29.0
1043 104400 512 29.0
1044 104500 512 29.0
1045 104600 512 29.0
1046 104700 512 29.0
1047 104800 512 29.0
1048 104900 516 29.0
1049 105000 516 29.0
1050 105100 528 29.0
1051 105200 528 29.0
1052 105300 528 29.0
1053 105400 528 29.0
1054 105500 528 29.0
1055 105600 528 29.0
1056 105700 528 29.0
1057 105800 528 29.0
1058 105900 528 29.0
1059 106000 528 29.0
1060 106100 528 29.0
1061 106200 528 29.0
1062 106300 528 29.0
1063 106400 528 29.0
1064 106500 528 29.0
1065 106600 532 29.0
1066 106700 532 29.0
1067 106800 532 29.0
1068 106900 532 29.0
1069 107000 532 29.0
1070 107100 532 29.0
1071 107200 532 29.0
1072 107300 532 29.0
1073 107400 532 29.0
1074 107500 532 29.0
1075 107600 532 29.0
1076 107700 532 29.0
1077 107800 532 29.0
1078 107900 532 29.0
1079 108000 532 29.0
1080 108100 532 29.0
1081 108200 532 29.0
1082 108300 532 29.0
1083 108400 532 29.0
1084 108500 532 29.0
1085 108600 536 29.0
1086 108700 536 29.0
1087 108800 536 29.0
1088 108900 536 29.0
1089 109000 536 29.0
1090 109100 536 29.0
1091 109200 536 29.0
1092 109300 540 29.0
1093 109400 540 29.0
1094 109500 540 29.0
1095 109600 540 29.0
1096 109700 540 29.0
1097 109800 540 29.0
1098 109900 540 29.0
1099 110000 540 29.0
1100 110100 540 29.0
1101 110200 540 29.0
1102 110300 540 29.0
1103 110400 540 29.0
1104 110500 540 29.0
1105 110600 540 29.0
1106 110700 544 29.0
1107 110800 544 29.0
1108 110900 544 29.0
1109 111000 544 29.0
1110 111100 544 29.0
1111 111200 544 29.0
1112 111300 544 29.0
1113 111400 544 29.0
1114 111500 544 29.0
1115 111600 544 29.0
1116 111700 544 29.0
1117 111800 544 29.0
1118 111900 544 29.0
1119 112000 544 29.0
1120 112100 544 29.0
1121 112200 544 29.0
1122 112300 544 29.0
1123 112400 544 29.0
1124 112500 548 29.0
1125 112600 548 29.0
1126 112700 548 29.0
1127 112800 548 29.0
1128 112900 548 29.0
1129 113000 548 29.0
1130 113100 552 29.0
1131 113200 552 29.0
1132 113300 552 29.0
1133 113400 552 29.0
1134 113500 552 29.0
1135 113600 552 29.0
1136 113700 552 29.0
1137 113800 552 29.0
1138 113900 552 29.0
1139 114000 552 29.0
1140 114100 552 29.0
1141 114200 552 29.0
1142 114300 552 29.0
1143 114400 552 29.0
1144 114500 552 29.0
1145 114600 552 29.0
1146 114700 556 29.0
1147 114800 556 29.0
1148 114900 556 29.0
1149 115000 556 29.0
1150 115100 556 29.0
1151 115200 556 29.0
1152 115300 556 29.0
1153 115400 556 29.0
1154 115500 556 29.0
1155 115600 556 29.0
1156 115700 556 29.0
1157 115800 556 29.0
1158 115900 556 29.0
1159 116000 556 29.0
1160 116100 556 29.0
1161 116200 556 29.0
1162 116300 556 29.0
1163 116400 556 29.0
1164 116500 556 29.0
1165 116600 560 29.0
1166 116700 560 29.0
1167 116800 560 29.0
1168 116900 560 29.0
1169 117000 560 29.0
1170 117100 560 29.0
1171 117200 560 29.0
1172 117300 560 29.0
1173 117400 560 29.0
1174 117500 560 29.0
1175 117600 560 29.0
1176 117700 560 29.0
1177 117800 560 29.0
1178 117900 560 29.0
1179 118000 560 29.0
1180 118100 560 29.0
1181 118200 560 29.0
1182 118300 560 29.0
1183 118400 564 29.0
1184 118500 564 29.0
1185 118600 564 29.0
1186 118700 564 29.0
1187 118800 564 29.0
1188 118900 564 29.0
1189 119000 564 29.0
1190 119100 564 29.0
1191 119200 564 29.0
1192 119300 564 29.0
1193 119400 564 29.0
1194 119500 564 29.0
1195 119600 564 29.0
1196 119700 564 29.0
1197 119800 564 29.0
1198 119900 564 29.0
1199 120000 564 29.0
1200 120100 564 29.0
1201 120200 564 29.0
1202 120300 568 29.0
1203 120400 568 29.0
1204 120500 568 29.0
1205 120600 568 29.0
1206 120700 568 29.0
1207 120800 568 29.0
1208 120900 568 29.0
1209 121000 568 29.0
1210 121100 568 29.0
1211 121200 568 29.0
1212 121300 568 29.0
1213 121400 572 29.0
1214 121500 572 29.0
1215 121600 572 29.0
1216 121700 572 29.0
1217 121800 572 29.0
1218 121900 572 29.0
1219 122000 572 29.0
1220 122100 572 29.0
1221 122200 572 29.0
1222 122300 572 29.0
1223 122400 572 29.0
1224 122500 572 29.0
1225 122600 572 29.0
1226 122700 572 29.0
1227 122800 572 29.0
1228 122900 576 29.0
1229 123000 576 29.0
1230 123100 576 29.0
1231 123200 576 29.0
1232 123300 576 29.0
1233 123400 576 29.0
1234 123500 576 29.0
1235 123600 576 29.0
1236 123700 576 29.0
1237 123800 576 29.0
1238 123900 580 29.0
1239 124000 580 29.0
1240 124100 580 29.0
1241 124200 580 29.0
1242 124300 580 29.0
1243 124400 580 29.0
1244 124500 580 29.0
1245 124600 580 29.0
1246 124700 580 29.0
